COUNTRY,ISO3,Indicator 1,Indicator 2,Indicator 3,Indicator 4,Indicator 5
Ecuador,ECU,3.7,3.6,4.3,4.3,5.2
Egypt,EGY,4.6,4.0,4.4,4.4,5.5
El Salvador,SLV,5.2,4.2,4.5,4.5,5.5
Equatorial Guinea,GNQ,2.9,3.9,7.2,7.2,7.6
Eritrea,ERI,2.8,4.4,6.4,6.4,7.3
Estonia,EST,7.0,4.7,1.8,1.8,2.2
Eswatini,SWZ,5.3,5.1,5.8,5.8,6.2
Ethiopia,ETH,2.5,4.7,7.3,7.3,6.8
Fiji,FJI,5.1,4.3,4.3,4.3,4.4
Finland,FIN,7.1,4.8,1.1,1.1,1.2
France,FRA,7.0,4.9,0.9,0.9,1.8
Gabon,GAB,2.7,3.7,6.0,6.0,6.4
Gambia,GMB,2.1,3.9,7.1,7.1,6.7
Georgia,GEO,6.6,5.3,3.3,3.3,3.7
Germany,DEU,7.8,5.6,0.4,0.4,1.2
Ghana,GHA,2.5,3.5,5.8,5.8,5.8
Greece,GRC,7.7,5.6,1.5,1.5,3.3
Grenada,GRD,4.8,3.7,3.9,3.9,4.5
Guatemala,GTM,3.6,4.1,5.4,5.4,6.2
Guinea,GIN,2.9,4.7,8.8,8.8,8.0
Guinea-Bissau,GNB,2.3,4.7,7.1,7.1,7.6
Guyana,GUY,4.1,3.9,4.9,4.9,5.4
Haiti,HTI,3.9,5.6,8.2,8.2,8.4
Honduras,HND,3.3,4.1,4.8,4.8,5.9
Hungary,HUN,7.7,5.4,1.3,1.3,3.2
Iceland,ISL,5.7,3.6,1.1,1.1,1.7
India,IND,4.5,4.5,5.6,5.6,5.4
Indonesia,IDN,4.4,3.9,6.1,6.1,5.7
Iran,IRN,4.2,3.7,3.2,3.2,5.2
Iraq,IRQ,3.1,4.5,6.1,6.1,7.0
Ireland,IRL,5.9,3.8,1.4,1.4,1.9
Israel,ISR,4.6,3.2,1.3,1.3,2.4
Italy,ITA,8.2,5.8,1.1,1.1,3.0
Jamaica,JAM,5.2,4.1,4.4,4.4,4.7
Japan,JPN,8.2,5.7,0.6,0.6,1.4
Jordan,JOR,3.0,4.0,3.8,3.8,4.4
Kazakhstan,KAZ,4.2,2.7,2.3,2.3,4.3
Kenya,KEN,2.9,4.7,7.1,7.1,6.8
Kiribati,KIR,6.2,5.9,5.3,5.3,5.5
Korea DPR,PRK,4.8,5.4,0.6,0.6,5.6
Korea Republic of,KOR,7.1,4.8,0.8,0.8,2.2
